Nr polisy;Data zawarcia;Data zakończenia;Termin płatności 1;Kwota płatności 1;Czy opłacona 1?;Termin płatności 2;Kwota płatności 2;Czy opłacona 2?;Kwota zadłużenia;Nr rejestracyjny / adres;Przedmiot ubezpieczenia;Marka pojazdu;Model pojazdu;Adres ubezpieczenia;Polisa aktywna;Nr pośrednika;Imię i nazwisko agenta;Pesel agenta;Imię i nazwisko ubezpieczonego;Pesel ubezpieczonego;Adres ubezpieczonego;;;;;;;;;;;;
920018411380;2021-06-01;2022-06-01;2021-06-16;148,00 zł;TAK;2021-12-01;148,00 zł;TAK;0,00 zł;WL7683N;MOTOR;Audi;A4;01-479 Warszawa ul.Polna 12;TAK;A00001943015;Skop Agnieszka;48070520277;Szymon Wiśniewski;29062345782;01-479 Warszawa ul.Polna 12;;;;;;;;34;/;5; ul.  34;01-479 Warszawa ul. Krzywa 34/5
920016289684;2021-06-01;2022-06-01;2021-06-16;1 123,00 zł;TAK;2021-12-01;1 123,00 zł;TAK;0,00 zł;WL4585H;MOTOR;Volkswagen;Golf;05-230 Kobyłka ul.Leśna 16;TAK;A00001943017;Persińska Monika;86020924580;Franciszek Wójcik;85030678247;05-230 Kobyłka ul.Leśna 16;;;;;;;;67;;; ul.  67;05-230 Kobyłka ul. Prosta 67
920016411216;2021-06-01;2022-06-01;2021-06-16;206,00 zł;TAK;2021-12-01;206,00 zł;TAK;0,00 zł;DZG05306;MOTOR;Opel;Astra;53-031 Wrocław ul.Słoneczna 18;TAK;A00001943008;Sempolewski Adrian;64040767154;Mikołaj Kowalczyk;20292058288;53-031 Wrocław ul.Słoneczna 18;;;;;;;;05;;; ul.  05;53-031 Wrocław ul. Śliska 05
920016450618;2021-06-01;2022-06-01;2021-06-16;3 327,00 zł;TAK;2021-12-01;3 327,00 zł;TAK;0,00 zł;CTR2696G;MOTOR;BMW;3;58-533 Karpniki ul.Krótka 22;TAK;A00001944017;Sempławski Michał;20210546305;Kacper Kamiński;85090904478;58-533 Karpniki ul.Krótka 22;;;;;;;;90;/;7; ul.  90;58-533 Karpniki ul. Góralska 90/9
920016391566;2021-06-01;2022-06-01;2021-06-16;130,00 zł;TAK;2021-12-01;130,00 zł;TAK;0,00 zł;CWA00JR;MOTOR;Audi;A3;05-091 Ząbki ul.Szkolna 24;TAK;A00001943018;Mazurkiewicz Michał;42080364179;Wiktor Lewandowski;83081917577;05-091 Ząbki ul.Szkolna 24;;;;;;;;91;;; ul.  91;05-091 Ząbki ul. Kanarków 91
920017804022;2021-06-01;2022-06-01;2021-06-16;83,00 zł;TAK;2021-12-01;83,00 zł;TAK;0,00 zł;CZN47730;MOTOR;Volkswagen;Passat;05-120 Legionowo ul.Ogrodowa 46/12;TAK;A00001943006;Sempławski Michał;19310501183;Leon Zieliński;12271033786;05-120 Legionowo ul.Ogrodowa 46/12;;;;;;;;03;;; ul.  03;41-400 Mysłowice ul. Pocztowa 3/5
912001587611;2021-06-02;2022-06-02;2021-06-17;79,00 zł;TAK;2021-12-02;79,00 zł;NIE;104,00 zł;ETM99M1;MOTOR;Ford;Focus;02-558 Warszawa ul.Lipowa 34/7;TAK;A00011943006;Januszewska Joanna;46111562662;Aleksander Wójcik;93102436525;02-558 Warszawa ul.Lipowa 34/7;;;;;;;;43;/;12; ul.  43;41-100 Siemianowice ul. Kościelna 43/12
912001587844;2021-06-02;2022-06-02;2021-06-17;458,00 zł;TAK;2021-12-02;458,00 zł;NIE;603,00 zł;LTM80T9;MOTOR;Opel;Corsa;96-500 Sochaczew ul.Brzozowa 23/4a;NIE;A00021943006;Kaczyńska Agnieszka;97051844020;Nikodem Kowalczyk;59052307276;96-500 Sochaczew ul.Brzozowa 23/4a;;;;;;;;30;;; ul.  30;40-100 Katowice ul. Murckowska 30
912001578427;2021-06-02;2022-06-02;2021-06-17;242,00 zł;TAK;2021-12-02;242,00 zł;NIE;319,00 zł;WL3218T;MOTOR;Toyota;Corolla;05-190 Nasielsk ul.Łąkowa 89;NIE;A00001943028;Kozioł Antoni;47092170567;Zuzanna Wiśniewska;53072250376;05-190 Nasielsk ul.Łąkowa 89;;;;;;;;25;;; ul.  25;47-809 Łomża ul. Przemysłowa 25
912001582279;2021-06-02;2022-06-02;2021-06-17;321,00 zł;TAK;2021-12-02;321,00 zł;TAK;0,00 zł;LWL28144;MOTOR;Toyota;Yaris;05-530 Góra Kalwaria ul.Kwiatowa 107;TAK;A00001943018;Sempławski Michał;28100877537;Zofia Wójcik ;63052018856;05-530 Góra Kalwaria ul.Kwiatowa 107;;;;;;;;01;/;16; ul.  01;05-530 Góra ul. Dolna 1/89
920014746271;2021-06-02;2022-06-02;2021-06-17;345,00 zł;TAK;2021-12-02;345,00 zł;TAK;0,00 zł;EL452NG;MOTOR;Skoda;Octavia;05-200 Wołomin ul.Kościelna 32/3;TAK;A00031943006;Kozioł Antoni;13281863017;Hanna Kowalczyk;41012312114;05-200 Wołomin ul.Kościelna 32/3;;;;;;;;31;;; ul.  31;41-200 Sosnowiec ul. Owsiana 31
912001579932;2021-06-02;2022-06-02;2021-06-17;59,00 zł;TAK;2021-12-02;59,00 zł;NIE;78,00 zł;LZA44775;MOTOR;Dacia;Duster;05-100 Nowy Dwór Mazowiecki ul.Targowa 13/87;NIE;A00001943027;Wójcik Irmina;45032147718;Julia  Kamińska;58101056516;05-100 Nowy Dwór Mazowiecki ul.Targowa 13/87;;;;;;;;05;;; ul.  05;21-030 Konopnica ul. Krakowska 05
912001580141;2021-06-02;2022-06-02;2021-06-17;535,00 zł;TAK;2021-12-02;535,00 zł;NIE;704,00 zł;WND28144;MOTOR;Toyota;RAV4;05-100 Nowy Dwór Mazowiecki ul.Teatralna 18;TAK;A00001943003;Januszewska Joanna;38031885413;Maja  Lewandowska;26021275889;05-100 Nowy Dwór Mazowiecki ul.Teatralna 18;;;;;;;;27;;; ul.  27;05-100 Nowy Dwór Mazowiecki ul. Warszawska 27
912001586099;2021-06-02;2022-06-02;2021-06-17;474,00 zł;TAK;2021-12-02;474,00 zł;TAK;0,00 zł;SKL13128;MOTOR;Skoda;Fabia;01-210 Warszawa ul.Piłsudzkiego 22;TAK;A00001943008;Szymkowska Alicja;80110651844;Laura  Zielińska;32022463161;01-210 Warszawa ul.Piłsudzkiego 22;;;;;;;;46;/;4; ul.  46;01-210 Warszawa ul. Chmielna 46
912001580212;2021-06-02;2022-06-02;2021-06-17;490,00 zł;TAK;2021-12-02;490,00 zł;TAK;0,00 zł;WY7998I;MOTOR;Toyota;CHR;05-123 Chotomów ul.Cmentarna 24;TAK;A00041943006;Sempolewski Adrian;36091732809;Oliwia  Szymańska;31081648461;05-123 Chotomów ul.Cmentarna 24;;;;;;;;;;;;
